,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Attendance,Referee,HS,AS,HST,AST,HHW,AHW,HC,AC,HF,AF,HO,AO,HY,AY,HR,AR,HBP,ABP,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,SYH,SYD,SYA,WHH,WHD,WHA,season
44,E0,16/09/01,Ipswich,Blackburn,1,1,D,1,0,H,22126.0,G. Poll,20,6,10,4,1,0,6,13,8,15,0,3,3,1,0,0,30,10,,,,1.85,3.0,3.3,1.83,3.2,3.75,1.83,3.25,3.8,1.83,3.25,3.75,1.9,3.25,3.4,0102
45,E0,16/09/01,Tottenham,Chelsea,2,3,A,0,1,A,36037.0,S. W. Dunn,11,6,4,4,1,0,6,6,10,12,1,3,1,4,0,1,10,65,,,,2.7,2.9,2.2,2.5,3.25,2.4,2.62,3.2,2.38,2.5,3.2,2.5,2.6,3.1,2.4,0102
46,E0,17/09/01,Leicester,Middlesbrough,1,2,A,1,0,H,15412.0,N. S. Barry,10,13,5,6,0,2,4,2,19,15,4,3,0,1,0,0,0,10,,,,2.3,3.0,2.4,2.2,3.25,2.87,2.2,3.25,2.8,2.2,3.4,2.75,2.2,3.2,2.8,0102
47,E0,19/09/01,Blackburn,Bolton,1,1,D,0,0,D,25949.0,J. T. Winter,20,10,8,5,1,0,10,2,14,15,6,2,0,4,0,0,0,40,,,,2.0,2.9,3.0,1.8,3.2,4.0,1.91,3.25,3.5,1.91,3.4,3.4,1.83,3.3,3.6,0102
48,E0,19/09/01,Sunderland,Tottenham,1,2,A,0,1,A,47310.0,P. A. Durkin,14,13,8,6,0,0,11,4,9,14,4,3,1,2,0,0,10,20,,,,1.8,3.0,3.5,1.83,3.2,3.75,1.85,3.25,3.75,1.83,3.4,3.6,1.9,3.25,3.4,0102
49,E0,22/09/01,Arsenal,Bolton,1,1,D,0,0,D,38014.0,C. R. Wilkes,23,7,12,4,1,0,17,0,9,11,7,1,1,1,0,1,10,35,,,,1.35,3.8,6.2,1.25,4.5,10.0,1.3,4.33,9.0,1.33,4.33,7.5,1.28,4.5,8.0,0102
50,E0,22/09/01,Blackburn,Everton,1,0,H,1,0,H,27732.0,G. P. Barber,13,14,6,7,1,1,5,4,18,17,5,4,1,2,0,0,10,20,,,,1.9,2.9,3.2,2.1,3.2,3.0,2.0,3.2,3.3,1.91,3.4,3.4,1.9,3.2,3.5,0102
51,E0,22/09/01,Leicester,Fulham,0,0,D,0,0,D,18918.0,E. K. Wolstenholme,12,6,5,2,0,0,4,4,15,21,1,0,2,2,0,0,20,20,,,,2.4,2.9,2.4,2.75,3.25,2.2,2.75,3.25,2.25,2.62,3.2,2.38,3.0,3.2,2.1,0102
52,E0,22/09/01,Liverpool,Tottenham,1,0,H,0,0,D,44116.0,D. J. Gallagher,14,11,6,5,1,0,2,5,12,9,3,1,0,1,0,0,0,10,,,,1.5,3.4,4.7,1.44,3.6,6.5,1.5,3.6,6.0,1.5,3.5,6.0,1.5,3.4,6.0,0102
53,E0,22/09/01,Man United,Ipswich,4,0,H,2,0,H,67551.0,N. S. Barry,13,8,8,1,0,0,8,4,14,17,7,4,0,1,0,0,0,10,,,,1.35,3.8,6.2,1.33,4.0,8.0,1.3,4.5,8.0,1.3,4.5,8.0,1.25,4.5,10.0,0102
54,E0,22/09/01,Sunderland,Charlton,2,2,D,0,1,A,46825.0,A. P. D'Urso,22,13,13,5,0,0,9,8,20,13,0,4,2,3,0,0,20,30,,,,1.6,3.2,4.2,1.61,3.25,5.0,1.67,3.25,4.8,1.67,3.4,4.5,1.61,3.3,5.0,0102
55,E0,23/09/01,Chelsea,Middlesbrough,2,2,D,2,0,H,36767.0,R. Styles,8,4,3,2,0,0,8,2,17,15,0,4,4,1,0,0,40,10,,,,1.45,3.5,5.0,1.44,3.6,6.5,1.44,3.75,6.5,1.44,3.75,6.5,1.44,3.6,6.5,0102
